stage,completed_units,elapsed_ns,heap_used_bytes,heap_committed_bytes,heap_max_bytes,nonheap_used_bytes,rss_kib,rss_anon_kib,rss_file_kib,fd_count,gc_count,gc_ms
before_sdk,0,42032165,5394016,129761280,129761280,2678864,177048,154600,22448,8,0,0
initialized_and_oracle,0,1345640558,32297440,129761280,129761280,7106144,256364,214548,41816,18,0,0
warmup_-5,690,11594263005,16955984,129761280,129761280,7619136,495376,452968,42408,23,1,4
warmup_-4,1380,21662153829,32397560,129761280,129761280,7657112,500884,458476,42408,20,1,4
warmup_-3,2070,31751503358,12253640,129761280,129761280,7751064,493988,451580,42408,20,2,7
warmup_-2,2760,41702406800,27764816,129761280,129761280,7798736,499428,457020,42408,20,2,7
warmup_-1,3450,51603899972,7729464,129761280,129761280,7894336,492700,450292,42408,20,3,8
measured_0,4140,61481149218,23363808,129761280,129761280,8052552,497844,455436,42408,20,3,8
measured_1,4830,71227272974,38869744,129761280,129761280,8094408,503284,460876,42408,20,3,8
measured_2,5520,81125143730,18868104,129761280,129761280,8271024,496632,454160,42472,20,4,8
measured_3,6210,91111192015,34513088,129761280,129761280,8405688,502136,459664,42472,20,4,8
measured_4,6900,101188701602,14073024,129761280,129761280,8438336,494928,452456,42472,20,5,9
measured_5,7590,110998970161,29346712,129761280,129761280,8465688,500368,457896,42472,20,5,9
measured_6,8280,120843618346,9118024,129761280,129761280,8477080,493168,450696,42472,20,6,9
measured_7,8970,130509011920,24678768,129761280,129761280,8491488,498608,456136,42472,20,6,9
measured_8,9660,140505093331,39956824,129761280,129761280,8536888,504048,461576,42472,20,6,9
measured_9,10350,150468178595,19754584,129761280,129761280,8659696,496952,454480,42472,20,7,10
after_sdk_close,10350,150486551265,19754584,129761280,129761280,8685000,241140,198668,42472,18,7,10
