phase,round,items,wall_ns,model_results,rule_results,failures,checksum
warmup,-5,690,10246003002,680,10,0,5839136375673188196
warmup,-4,690,10066019034,680,10,0,5839136375673188196
warmup,-3,690,10087534103,680,10,0,5839136375673188196
warmup,-2,690,9949151887,680,10,0,5839136375673188196
warmup,-1,690,9899817471,680,10,0,5839136375673188196
measured,0,690,9874070260,680,10,0,5839136375673188196
measured,1,690,9743808753,680,10,0,5839136375673188196
measured,2,690,9895772176,680,10,0,5839136375673188196
measured,3,690,9983444505,680,10,0,5839136375673188196
measured,4,690,10075683946,680,10,0,5839136375673188196
measured,5,690,9808595728,680,10,0,5839136375673188196
measured,6,690,9842980401,680,10,0,5839136375673188196
measured,7,690,9663628713,680,10,0,5839136375673188196
measured,8,690,9994371417,680,10,0,5839136375673188196
measured,9,690,9961328126,680,10,0,5839136375673188196
