stage,completed_units,elapsed_ns,heap_used_bytes,heap_committed_bytes,heap_max_bytes,nonheap_used_bytes,rss_kib,rss_anon_kib,rss_file_kib,fd_count,gc_count,gc_ms
before_sdk,0,42289288,5394016,129761280,129761280,2683552,177104,154620,22484,8,0,0
initialized_and_oracle,0,1373076176,32297408,129761280,129761280,7134944,259328,217372,41956,18,0,0
warmup_-5,690,9471807781,17398152,129761280,129761280,8050600,241112,198756,42356,22,1,4
warmup_-4,1380,17240017010,34033936,129761280,129761280,8106792,247916,205432,42484,20,1,4
warmup_-3,2070,25261752993,14413408,129761280,129761280,8165776,250396,207912,42484,20,2,8
warmup_-2,2760,33069111767,31214208,129761280,129761280,8233592,250396,207912,42484,20,2,8
warmup_-1,3450,40939299787,11685312,129761280,129761280,8301184,250604,208120,42484,20,3,9
measured_0,4140,48957410908,27890944,129761280,129761280,8380560,250652,208168,42484,20,3,9
measured_1,4830,56879780388,8892296,129761280,129761280,8453464,250652,208168,42484,20,4,10
measured_2,5520,64716976862,25624064,129761280,129761280,8655288,250664,208180,42484,20,4,10
measured_3,6210,72522350243,6079016,129761280,129761280,8687920,250664,208180,42484,20,5,11
measured_4,6900,80706017894,22383608,129761280,129761280,8804128,250728,208180,42548,20,5,11
measured_5,7590,88831935606,38736392,129761280,129761280,8834088,250728,208180,42548,20,5,11
measured_6,8280,96897915983,19634992,129761280,129761280,8842128,250728,208180,42548,20,6,12
measured_7,8970,104934526310,35340464,129761280,129761280,8855384,250728,208180,42548,20,6,12
measured_8,9660,113017654220,16143504,129761280,129761280,8863064,250760,208212,42548,20,7,13
measured_9,10350,121047192857,32810488,129761280,129761280,8895248,250824,208276,42548,20,7,13
after_sdk_close,10350,121049337945,32810488,129761280,129761280,8911008,242152,199604,42548,18,7,13
