phase,round,items,wall_ns,model_results,rule_results,failures,checksum
warmup,-5,690,8096230927,680,10,0,5839136368156995428
warmup,-4,690,7766325189,680,10,0,5839136368156995428
warmup,-3,690,8019847474,680,10,0,5839136368156995428
warmup,-2,690,7805583111,680,10,0,5839136368156995428
warmup,-1,690,7868552465,680,10,0,5839136368156995428
measured,0,690,8014780212,680,10,0,5839136368156995428
measured,1,690,7920143024,680,10,0,5839136368156995428
measured,2,690,7835239174,680,10,0,5839136368156995428
measured,3,690,7803437965,680,10,0,5839136368156995428
measured,4,690,8181647022,680,10,0,5839136368156995428
measured,5,690,8124189621,680,10,0,5839136368156995428
measured,6,690,8064261187,680,10,0,5839136368156995428
measured,7,690,8034898262,680,10,0,5839136368156995428
measured,8,690,8081454720,680,10,0,5839136368156995428
measured,9,690,8027758046,680,10,0,5839136368156995428
