stage,completed_units,elapsed_ns,heap_used_bytes,heap_committed_bytes,heap_max_bytes,nonheap_used_bytes,rss_kib,rss_anon_kib,rss_file_kib,fd_count,gc_count,gc_ms
before_sdk,0,31345296,5401552,129761280,129761280,3313544,179168,156204,22964,11,0,0
warmup_before_gc,30,42167439393,72624480,129761280,129761280,8819328,292780,250300,42480,18,21,49
warmup_after_gc_request,30,42177543909,2657280,129761280,129761280,8846640,293016,250344,42672,18,22,56
phase_1_before_gc,55,76268878817,80855664,129761280,129761280,9395288,295224,252488,42736,18,38,90
phase_1_after_gc_request,55,76279298781,2660944,129761280,129761280,8760424,295228,252492,42736,18,39,99
phase_2_before_gc,80,109797406573,80850968,129761280,129761280,9389376,297720,254984,42736,18,55,135
phase_2_after_gc_request,80,109807385615,2663312,129761280,129761280,9234784,297724,254988,42736,18,56,143
phase_3_before_gc,105,143953971977,80846104,129761280,129761280,9602368,299264,256528,42736,18,72,178
phase_3_after_gc_request,105,143966909633,2604496,129761280,129761280,9557224,299264,256528,42736,18,73,189
phase_4_before_gc,130,177760195372,80093136,129761280,129761280,9778520,299616,256880,42736,18,89,223
phase_4_after_gc_request,130,177769997227,2602128,129761280,129761280,9661808,299628,256892,42736,18,90,231
phase_5_before_gc,155,212138065893,80087760,129761280,129761280,9951704,299696,256960,42736,18,106,265
phase_5_after_gc_request,155,212148202089,2602928,129761280,129761280,9955336,299696,256960,42736,18,107,274
phase_6_before_gc,180,246238173107,80075296,129761280,129761280,10061464,299696,256960,42736,18,123,309
phase_6_after_gc_request,180,246248224718,2603088,129761280,129761280,9914520,299696,256960,42736,18,124,317
phase_7_before_gc,205,280532717189,80788096,129761280,129761280,10016448,299696,256960,42736,18,140,354
phase_7_after_gc_request,205,280543241291,2604488,129761280,129761280,9969224,299696,256960,42736,18,141,363
phase_8_before_gc,230,314369096418,80786416,129761280,129761280,10103816,299716,256980,42736,18,157,397
phase_8_after_gc_request,230,314379157935,2604520,129761280,129761280,10096408,299716,256980,42736,18,158,406
