stage,completed_units,elapsed_ns,heap_used_bytes,heap_committed_bytes,heap_max_bytes,nonheap_used_bytes,rss_kib,rss_anon_kib,rss_file_kib,fd_count,gc_count,gc_ms
before_sdk,0,39659283,5393376,129761280,129761280,2791008,177288,154792,22496,8,0,0
initialized_and_oracle,0,1345183515,32287304,129761280,129761280,7198384,259384,217416,41968,18,0,0
warmup_-5,690,3527322646,19686104,129761280,129761280,8206040,289928,247832,42096,20,1,4
warmup_-4,1380,5715121437,36074328,129761280,129761280,8267496,288348,246252,42096,20,1,4
warmup_-3,2070,7892465326,18039448,129761280,129761280,8326352,289924,247828,42096,20,2,8
warmup_-2,2760,10109169366,34282352,129761280,129761280,8400352,291104,248608,42496,23,2,8
warmup_-1,3450,12347141150,15625784,129761280,129761280,8464360,292080,249584,42496,20,3,9
measured_0,4140,14678900688,31983904,129761280,129761280,8597768,292104,249608,42496,20,3,9
measured_1,4830,16954341018,13314160,129761280,129761280,8624184,292244,249748,42496,20,4,11
measured_2,5520,19288017997,29558072,129761280,129761280,8814632,292344,249784,42560,20,4,11
measured_3,6210,21502992242,10671672,129761280,129761280,8871000,292460,249900,42560,20,5,12
measured_4,6900,23682785684,26923048,129761280,129761280,8946160,292460,249900,42560,20,5,12
measured_5,7590,25859749423,7670880,129761280,129761280,8967520,292520,249960,42560,20,6,13
measured_6,8280,27947600276,23750816,129761280,129761280,8977160,292520,249960,42560,20,6,13
measured_7,8970,30146537464,40290880,129761280,129761280,8992176,292520,249960,42560,20,6,13
measured_8,9660,32308088265,21112160,129761280,129761280,9003472,292544,249984,42560,20,7,14
measured_9,10350,34454450030,37279808,129761280,129761280,9035472,292544,249984,42560,20,7,14
after_sdk_close,10350,34458752903,37391488,129761280,129761280,9051312,259480,216920,42560,18,7,14
