phase,round,items,wall_ns,model_results,rule_results,failures,checksum
warmup,-5,690,2176424836,680,10,0,5839136368156995428
warmup,-4,690,2185840309,680,10,0,5839136368156995428
warmup,-3,690,2175320220,680,10,0,5839136368156995428
warmup,-2,690,2214825171,680,10,0,5839136368156995428
warmup,-1,690,2236198953,680,10,0,5839136368156995428
measured,0,690,2328608562,680,10,0,5839136368156995428
measured,1,690,2273034018,680,10,0,5839136368156995428
measured,2,690,2331586336,680,10,0,5839136368156995428
measured,3,690,2212946558,680,10,0,5839136368156995428
measured,4,690,2177752601,680,10,0,5839136368156995428
measured,5,690,2174994367,680,10,0,5839136368156995428
measured,6,690,2085711246,680,10,0,5839136368156995428
measured,7,690,2196452993,680,10,0,5839136368156995428
measured,8,690,2159828816,680,10,0,5839136368156995428
measured,9,690,2144436446,680,10,0,5839136368156995428
