stage,completed_units,elapsed_ns,heap_used_bytes,heap_committed_bytes,heap_max_bytes,nonheap_used_bytes,rss_kib,rss_anon_kib,rss_file_kib,fd_count,gc_count,gc_ms
before_sdk,0,42062082,5394016,129761280,129761280,2682296,177052,154616,22436,8,0,0
initialized_and_oracle,0,1414480898,32297440,129761280,129761280,7204064,283968,242100,41868,18,0,0
warmup_-5,690,9684410893,23626408,129761280,129761280,8122264,258848,216452,42396,22,1,4
warmup_-4,1380,17743814024,10899936,129761280,129761280,8158968,263724,221328,42396,20,2,8
warmup_-3,2070,25707007746,33252576,129761280,129761280,8195800,263724,221328,42396,20,2,8
warmup_-2,2760,33659912510,20089720,129761280,129761280,8251712,263804,221408,42396,20,3,9
warmup_-1,3450,41759680536,6739824,129761280,129761280,8321008,263836,221440,42396,20,4,9
measured_0,4140,49593110672,29463312,129761280,129761280,8407400,263920,221524,42396,20,4,9
measured_1,4830,57404801323,16739888,129761280,129761280,8435480,263920,221524,42396,20,5,10
measured_2,5520,65375742248,39906112,129761280,129761280,8641096,263976,221580,42396,20,5,10
measured_3,6210,73355583319,26655744,129761280,129761280,8697464,263976,221580,42396,20,6,11
measured_4,6900,81424825981,13193544,129761280,129761280,8776200,264024,221628,42396,20,7,12
measured_5,7590,89454634108,35321144,129761280,129761280,8793936,264024,221628,42396,20,7,12
measured_6,8280,97560757022,22531152,129761280,129761280,8802488,264024,221628,42396,20,8,13
measured_7,8970,105554772316,8944640,129761280,129761280,8816128,264028,221632,42396,20,9,14
measured_8,9660,113482535828,31873296,129761280,129761280,8823808,264028,221632,42396,20,9,14
measured_9,10350,121402283609,18520000,129761280,129761280,8855992,264028,221632,42396,20,10,14
after_sdk_close,10350,121404299597,18520000,129761280,129761280,8871752,255356,212960,42396,18,10,14
