phase,round,items,wall_ns,model_results,rule_results,failures,checksum
warmup,-5,690,8267593683,680,10,0,5839136368156995428
warmup,-4,690,8057544935,680,10,0,5839136368156995428
warmup,-3,690,7961287976,680,10,0,5839136368156995428
warmup,-2,690,7950887055,680,10,0,5839136368156995428
warmup,-1,690,8097978047,680,10,0,5839136368156995428
measured,0,690,7830228047,680,10,0,5839136368156995428
measured,1,690,7809481030,680,10,0,5839136368156995428
measured,2,690,7968774347,680,10,0,5839136368156995428
measured,3,690,7977717539,680,10,0,5839136368156995428
measured,4,690,8067292879,680,10,0,5839136368156995428
measured,5,690,8028066374,680,10,0,5839136368156995428
measured,6,690,8104435049,680,10,0,5839136368156995428
measured,7,690,7992339231,680,10,0,5839136368156995428
measured,8,690,7926137190,680,10,0,5839136368156995428
measured,9,690,7918061706,680,10,0,5839136368156995428
